Start,Duration,Pitch,Velocity,Instrument
2.2075691119791667,0.7558505026041669,64,0.9921875,1-acoustic grand-lh
2.2075691119791667,0.7558505026041669,59,0.9921875,1-acoustic grand-lh
2.2075691119791667,0.7558505026041669,55,0.9921875,1-acoustic grand-lh
2.9634196145833336,0.554062359375,64,0.9921875,1-acoustic grand-lh
2.9634196145833336,0.554062359375,59,0.9921875,1-acoustic grand-lh
2.9634196145833336,0.554062359375,55,0.9921875,1-acoustic grand-lh
3.5174819739583336,0.5172220520833335,64,0.9921875,1-acoustic grand-lh
3.5174819739583336,0.5172220520833335,59,0.9921875,1-acoustic grand-lh
3.5174819739583336,0.5172220520833335,55,0.9921875,1-acoustic grand-lh
4.034704026041667,0.49347205989583287,64,0.9921875,1-acoustic grand-lh
4.034704026041667,0.49347205989583287,59,0.9921875,1-acoustic grand-lh
4.034704026041667,0.49347205989583287,55,0.9921875,1-acoustic grand-lh
4.5281760859375,0.43763872916666724,64,0.9921875,1-acoustic grand-lh
4.5281760859375,0.43763872916666724,59,0.9921875,1-acoustic grand-lh
4.5281760859375,0.43763872916666724,55,0.9921875,1-acoustic grand-lh
4.965814815104167,0.4733157994791659,64,0.9921875,1-acoustic grand-lh
4.965814815104167,0.4733157994791659,59,0.9921875,1-acoustic grand-lh
4.965814815104167,0.4733157994791659,55,0.9921875,1-acoustic grand-lh
5.439130614583333,0.51569428125,64,0.9921875,1-acoustic grand-lh
5.439130614583333,0.51569428125,59,0.9921875,1-acoustic grand-lh
5.439130614583333,0.51569428125,55,0.9921875,1-acoustic grand-lh
5.954824895833333,0.5348956640625007,64,0.9921875,1-acoustic grand-lh
5.954824895833333,0.5348956640625007,59,0.9921875,1-acoustic grand-lh
5.954824895833333,0.5348956640625007,55,0.9921875,1-acoustic grand-lh
6.489720559895834,0.6367359270833326,64,0.9921875,1-acoustic grand-lh
6.489720559895834,0.6367359270833326,57,0.9921875,1-acoustic grand-lh
6.489720559895834,0.6367359270833326,54,0.9921875,1-acoustic grand-lh
7.1264564869791664,0.5135936015625004,64,0.9921875,1-acoustic grand-lh
7.1264564869791664,0.5135936015625004,57,0.9921875,1-acoustic grand-lh
7.1264564869791664,0.5135936015625004,54,0.9921875,1-acoustic grand-lh
7.640050088541667,0.4374998437500004,64,0.9921875,1-acoustic grand-lh
7.640050088541667,0.4374998437500004,57,0.9921875,1-acoustic grand-lh
7.640050088541667,0.4374998437500004,54,0.9921875,1-acoustic grand-lh
8.077549932291667,0.49340260156249904,64,0.9921875,1-acoustic grand-lh
8.077549932291667,0.49340260156249904,57,0.9921875,1-acoustic grand-lh
8.077549932291667,0.49340260156249904,54,0.9921875,1-acoustic grand-lh
8.570952533854166,0.5758678697916668,63,0.9921875,1-acoustic grand-lh
8.570952533854166,0.5758678697916668,57,0.9921875,1-acoustic grand-lh
8.570952533854166,0.5758678697916668,54,0.9921875,1-acoustic grand-lh
9.146820403645833,0.45477415885416583,63,0.9921875,1-acoustic grand-lh
9.146820403645833,0.45477415885416583,57,0.9921875,1-acoustic grand-lh
9.146820403645833,0.45477415885416583,54,0.9921875,1-acoustic grand-lh
9.601594562499999,0.4553470781249995,63,0.9921875,1-acoustic grand-lh
9.601594562499999,0.4553470781249995,57,0.9921875,1-acoustic grand-lh
9.601594562499999,0.4553470781249995,54,0.9921875,1-acoustic grand-lh
10.056941640624999,0.5952428671875012,63,0.9921875,1-acoustic grand-lh
10.056941640624999,0.5952428671875012,57,0.9921875,1-acoustic grand-lh
10.056941640624999,0.5952428671875012,54,0.9921875,1-acoustic grand-lh
10.6521845078125,0.6552081406249997,63,0.9921875,1-acoustic grand-lh
10.6521845078125,0.6552081406249997,57,0.9921875,1-acoustic grand-lh
10.6521845078125,0.6552081406249997,53,0.9921875,1-acoustic grand-lh
11.3073926484375,0.4751734713541662,63,0.9921875,1-acoustic grand-lh
11.3073926484375,0.4751734713541662,57,0.9921875,1-acoustic grand-lh
11.3073926484375,0.4751734713541662,53,0.9921875,1-acoustic grand-lh
11.782566119791666,0.47638871875,63,0.9921875,1-acoustic grand-lh
11.782566119791666,0.47638871875,57,0.9921875,1-acoustic grand-lh
11.782566119791666,0.47638871875,53,0.9921875,1-acoustic grand-lh
12.258954838541666,0.45451372656249944,63,0.9921875,1-acoustic grand-lh
12.258954838541666,0.45451372656249944,57,0.9921875,1-acoustic grand-lh
12.258954838541666,0.45451372656249944,53,0.9921875,1-acoustic grand-lh
12.713468565104165,0.49083317187499986,62,0.9921875,1-acoustic grand-lh
12.713468565104165,0.49083317187499986,57,0.9921875,1-acoustic grand-lh
12.713468565104165,0.49083317187499986,53,0.9921875,1-acoustic grand-lh
13.204301736979165,0.5198609401041665,62,0.9921875,1-acoustic grand-lh
13.204301736979165,0.5198609401041665,57,0.9921875,1-acoustic grand-lh
13.204301736979165,0.5198609401041665,53,0.9921875,1-acoustic grand-lh
13.724162677083331,0.5968748437500011,62,0.9921875,1-acoustic grand-lh
13.724162677083331,0.5968748437500011,56,0.9921875,1-acoustic grand-lh
13.724162677083331,0.5968748437500011,53,0.9921875,1-acoustic grand-lh
14.321037520833332,0.6731421848958341,62,0.9921875,1-acoustic grand-lh
14.321037520833332,0.6731421848958341,56,0.9921875,1-acoustic grand-lh
14.321037520833332,0.6731421848958341,53,0.9921875,1-acoustic grand-lh
14.994179705729167,0.7362150755208319,62,0.9921875,1-acoustic grand-lh
14.994179705729167,0.7362150755208319,56,0.9921875,1-acoustic grand-lh
14.994179705729167,0.7362150755208319,52,0.9921875,1-acoustic grand-lh
